#group,false,false,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,
,result,table,_time,_value,_field,_measurement,name,source,type
,,0,2021-07-21T16:41:26Z,27.442,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T16:56:00Z,-15.9455,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T17:10:39Z,-49.8662,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T17:38:26Z,3.6728,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T17:52:50Z,43.0574,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T18:25:19Z,-5.1703,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T18:50:04Z,-49.9759,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T19:15:47Z,16.989,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T19:38:09Z,47.9647,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T19:52:53Z,11.0599,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T20:22:04Z,-50.7706,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T20:41:47Z,-3.7955,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T20:54:30Z,33.2732,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T21:20:26Z,26.6916,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T21:43:12Z,-38.9049,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T21:55:43Z,-50.1405,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T22:20:58Z,15.1102,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T22:42:12Z,50.1214,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T22:53:50Z,25.3286,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T23:19:55Z,-46.6285,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T23:40:12Z,-25.6678,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-21T23:52:53Z,12.1271,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T01:06:31Z,-42.2657,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T02:12:16Z,-12.3627,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T02:42:00Z,-36.3647,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T02:54:30Z,-0.5686,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T03:23:09Z,47.2974,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T03:45:43Z,-13.9445,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T04:27:02Z,-1.6972,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T04:52:45Z,50.9971,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T05:15:54Z,-5.7275,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T05:38:11Z,-51.4801,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T05:53:09Z,-21.9609,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T06:26:55Z,49.9588,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T06:54:10Z,-21.6758,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T07:18:31Z,-41.4939,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T07:37:57Z,13.6401,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T07:53:12Z,49.7231,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T08:22:46Z,-8.9121,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T08:43:14Z,-51.6185,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T08:55:47Z,-30.8315,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T09:22:52Z,44.8426,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T09:44:22Z,24.8979,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T09:57:01Z,-12.9352,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T10:25:04Z,-39.8906,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T10:43:19Z,12.3016,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T10:55:55Z,45.1128,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T11:17:40Z,23.7992,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T11:37:49Z,-35.0615,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T11:52:52Z,-49.1099,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T12:33:25Z,50.9989,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T13:08:12Z,-28.3683,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T13:33:30Z,-33.5481,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T13:52:57Z,23.4621,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-22T14:18:22Z,37.4402,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T14:32:29Z,2.5494,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T14:38:20Z,20.027,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T14:53:20Z,51.2413,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T15:23:34Z,-16.5969,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T15:48:20Z,-44.2129,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T16:32:33Z,47.9913,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T17:09:27Z,-48.0649,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T17:37:18Z,-0.5061,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T17:53:00Z,42.887,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T18:25:11Z,-3.9767,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T18:49:47Z,-50.4765,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T19:15:49Z,16.38,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T19:38:05Z,48.3902,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T19:53:01Z,11.4158,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T20:20:17Z,-51.6126,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T20:39:50Z,-10.453,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T20:53:13Z,29.1986,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T21:19:34Z,29.7332,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T21:42:27Z,-36.5562,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T21:54:53Z,-51.008,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T22:20:07Z,11.8328,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T22:41:06Z,51.1443,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T22:53:43Z,26.3149,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T23:19:38Z,-45.7264,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T23:39:54Z,-27.2085,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-23T23:53:03Z,11.8967,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T01:04:48Z,-46.0168,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T02:05:56Z,7.5465,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T02:40:20Z,-40.8246,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T02:52:46Z,-6.5406,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T03:23:06Z,47.7291,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T03:45:21Z,-12.1477,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T04:26:42Z,-3.4756,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T04:52:06Z,51.4359,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T05:17:18Z,-9.2714,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T05:37:54Z,-51.5941,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T05:52:51Z,-23.5238,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T06:25:36Z,51.1766,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T06:51:54Z,-14.3163,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T07:18:11Z,-42.6924,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T07:37:59Z,13.047,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T07:53:05Z,49.3157,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T08:22:06Z,-6.1767,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T08:42:39Z,-51.5506,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T08:55:13Z,-32.9804,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T09:21:23Z,41.3517,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T09:43:51Z,27.0021,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T09:56:26Z,-10.4602,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T10:23:59Z,-42.7377,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T10:42:33Z,9.2954,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T10:55:01Z,42.8764,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T11:16:16Z,28.3847,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T11:38:00Z,-34.931,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T11:52:54Z,-49.3617,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T12:31:17Z,48.6583,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T13:04:38Z,-17.5683,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T13:30:24Z,-41.4805,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T13:52:58Z,22.8538,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T14:17:22Z,40.3311,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T14:38:09Z,-19.3157,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T14:53:02Z,-51.0232,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T15:23:20Z,15.4522,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T15:47:44Z,45.4908,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T16:31:04Z,-49.9734,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T17:06:01Z,41.5133,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T17:35:19Z,6.696,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T17:52:47Z,-42.2708,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T18:24:46Z,2.2442,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T18:49:06Z,51.047,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T19:15:07Z,-14.119,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T19:27:39Z,-46.0295,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T19:40:12Z,-45.1891,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T19:53:06Z,-11.6028,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T20:19:30Z,51.5517,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T20:39:10Z,12.6437,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T20:52:56Z,-28.267,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T21:18:56Z,-31.8344,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T21:41:54Z,34.8075,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T21:54:28Z,51.2965,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T22:19:29Z,-9.7712,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T22:40:47Z,-51.3548,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T22:53:17Z,-27.9254,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T23:20:01Z,46.1545,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T23:40:06Z,26.8611,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-24T23:53:12Z,-12.189,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T01:06:30Z,42.9825,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T02:07:03Z,-4.6461,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T02:39:46Z,42.2351,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T02:52:49Z,6.5848,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T03:23:01Z,-48.0292,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T03:45:24Z,11.8102,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T04:26:24Z,4.5278,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T04:51:50Z,-51.5453,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T05:17:19Z,8.8104,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T05:38:01Z,51.5948,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T05:52:57Z,23.4458,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T06:25:33Z,-51.2543,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T06:51:48Z,13.5639,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T07:18:10Z,42.9365,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T07:37:58Z,-12.8374,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T07:53:14Z,-49.3855,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T08:21:51Z,4.9324,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T08:41:59Z,51.2775,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T08:54:29Z,35.0736,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T09:21:19Z,-41.0237,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T09:43:42Z,-27.8366,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T09:56:21Z,9.7618,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T10:24:12Z,42.4876,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T10:42:31Z,-9.0059,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T10:55:08Z,-42.9516,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T11:16:07Z,-29.1464,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T11:37:56Z,34.4017,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T11:52:48Z,49.5777,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
,,0,2021-07-25T12:31:16Z,-48.5176,lat,iss,iss,http://api.open-notify.org/iss-now.json,satellite
